Rank;Mountain Peak;State;Mountain Range;Elevation;Elevation_m;Prominence;Prominence_m;Isolation;Isolation_m;Lat;Long;Climbed;
83;McDonald Peak; Montana;Mission Range;9824;2994;5650;1722;79.4;127.8;47.3826;-113.9191;No;
84;Mount Wrangell; Alaska;Wrangell Mountains;14163;4317;5613;1711;14.79;23.8;62.0059;-144.0187;No;
85;South Sister; Oregon;Cascade Range;10363;3158.5;5593;1705;39.4;63.4;44.1035;-121.7693;No;
86;Devils Paw; Alaska British Columbia;Coast Mountains;8507;2593;5587;1703;84.7;136.3;58.7289;-133.8402;No;
87;Mount Seattle; Alaska;Saint Elias Mountains;10350;3155;5561;1695;11.97;19.26;60.0680;-139.1893;No;
88;Sierra Blanca Peak; New Mexico;Sacramento Mountains;11981;3651.8;5553;1693;165.7;267;33.3743;-105.8087;No;
89;Pikes Peak; Colorado;Front Range;14115;4302.31;5530;1686;60.6;97.6;38.8405;-105.0442;No;
90;Mount Russell; Alaska;Alaska Range;11670;3557;5520;1682;14.07;22.7;62.7984;-151.8845;No;
91;Mount Nebo; Utah;Wasatch Range;11933;3637;5508;1679;75.6;121.6;39.8219;-111.7603;No;
92;Snowshoe Peak; Montana;Cabinet Mountains;8743;2665;5438;1658;82.9;133.5;48.2231;-115.6890;No;
93;North Schell Peak; Nevada;Schell Creek Range;11895;3625.6;5413;1650;23.5;37.9;39.4132;-114.5997;No;
94;Hayford Peak; Nevada;Sheep Range;9924;3024.9;5412;1650;33.8;54.3;36.6577;-115.2008;No;
95;Mount Foresta; Alaska;Saint Elias Mountains;11050;3368;5400;1646;12.51;20.1;60.1912;-139.4323;No;
95;Star Peak; Nevada;Humboldt Range;9840;2999.1;5400;1646;69;111.1;40.5224;-118.1708;No;
97;Veniaminof Peak; Alaska;Baranof Island;5390;1643;5390;1643;79.7;128.3;57.0151;-134.9882;No;
98;Diamond Peak; Idaho;Lemhi Range;12202;3719.3;5387;1642;31.8;51.2;44.1414;-113.0827;No;
99;Flat Top Mountain; Utah;Oquirrh Mountains;10624;3238;5383;1641;23.8;38.4;40.3724;-112.1888;No;
100;Bearhole Peak; Alaska;Saint Elias Mountains;8517;2596;5367;1636;9.71;15.62;60.9283;-142.5237;No;
101;Mount Steller; Alaska;Chugach Mountains;10515;3205;5365;1635;22.5;36.2;60.5199;-143.0932;No;
102;Mount Stuart; Washington;Wenatchee Mountains;9420;2871;5354;1632;44.5;71.6;47.4751;-120.9024;No;
103;Blanca Peak; Colorado;Sangre de Cristo Mountains;14351;4374;5326;1623;103.4;166.4;37.5775;-105.4856;No;
104;Mount Miller; Alaska;Saint Elias Mountains;10750;3277;5300;1615;40.3;64.9;60.4605;-142.3012;No;
105;Carlisle Volcano; Alaska;Carlisle Island;5283;1610;5283;1610;6.64;10.68;52.8913;-170.0580;No;
106;Mount Timpanogos; Utah;Wasatch Range;11752;3582;5279;1609;39.6;63.8;40.3908;-111.6459;No;
107;Bashful Peak; Alaska;Chugach Mountains;8005;2440;5275;1608;22.1;35.5;61.3076;-148.8697;No;
108;Ibapah Peak; Utah;Deep Creek Range;12092;3686;5267;1605;61.2;98.5;39.8282;-113.9200;No;
109;Mount Cleveland; Montana;Lewis Range;10479;3194;5246;1599;99.4;159.9;48.9249;-113.8482;No;
110;Kawaikini; Hawaii;Island of Kauaʻi;5243;1598;5243;1598;204;328;22.0586;-159.4973;No;
111;She Devil; Idaho;Seven Devils Mountains;9424;2873;5240;1597;31.5;50.6;45.3240;-116.5406;No;
111;Tetlin Peak; Alaska;Alaska Range;8365;2550;5240;1597;25.5;41.1;62.6215;-143.1084;No;
113;Arc Dome; Nevada;Toiyabe Range;11778;3590;5233;1595;23.1;37.2;38.8327;-117.3531;No;
114;Lassen Peak; California;Cascade Range;10462;3188.7;5229;1594;71.4;114.9;40.4882;-121.5050;No;
115;Mount Deborah; Alaska;Alaska Range;12339;3761;5189;1582;16.08;25.9;63.6377;-147.2384;No;
116;Necons Pea (Peak 8336); Alaska;Alaska Range;8336;2541;5186;1581;21.9;35.3;61.1125;-153.4690;No;
117;Abercrombie Mountain; Washington;Columbia Mountains;7312;2229;5178;1578;14.04;22.6;48.9284;-117.4600;No;
118;Mount Lemmon; Arizona;Santa Catalina Mountains;9160;2792;5177;1578;51.5;82.9;32.4430;-110.7885;No;
119;Gareloi Volcano; Alaska;Gareloi Island;5160;1573;5160;1573;28.6;46.1;51.7880;-178.7940;No;
120;Chiricahua Peak; Arizona;Chiricahua Mountains;9763;2976;5149;1569;64.2;103.3;31.8456;-109.2910;No;
121;Stony Pea (Peak 8488); Alaska;Alaska Range;8488;2587;5138;1566;11.92;19.19;61.4950;-153.6224;No;
122;Mount Eddy; California;Klamath Mountains;9037;2754.6;5125;1562;14.58;23.5;41.3196;-122.4790;No;
123;Mount Augusta; Alaska Yukon;Saint Elias Mountains;14070;4289;5082;1549;14.41;23.2;60.3074;-140.4584;No;
124;Copper Pea (Peak 6915); Alaska;Chugach Mountains;6915;2108;5065;1544;11.1;17.87;61.3297;-144.9599;No;
125;Mount Bear; Alaska;Saint Elias Mountains;14831;4520;5054;1540;20.1;32.4;61.2834;-141.1433;No;
126;Korovin Volcano; Alaska;Atka Island;5030;1533;5030;1533;85.2;137.2;52.3816;-174.1653;No;
127;Miller Peak; Arizona;Huachuca Mountains;9470;2886;5011;1527;66.5;107;31.3928;-110.2930;No;
128;Kamakou; Hawaii;Island of Molokaʻi;4961;1512;4961;1512;23.5;37.8;21.1065;-156.8682;No;
